line,raw_line,issue
43,"GR;3955;Landquart;Igis;20240511;https://oereblex.gr.ch/api/attachments/1794;True;True;True;True;False;creationDate: 2022-04-01 14:47:40, modifcationDate: 2022-04-01 14:47:40, author: Elsbeth Bott;Martin Fopp, size: 1571439;creationDate: 2019-07-16 15:24:19, modifcationDate: 2019-07-16 15:24:19, author: Bernhard Metzger;Martin Fopp, size: 732485;False;;False","repaired: embedded "";"" inside author field split metadata into >2 raw fields"
751,"GR;3947;Zizers;;20240511;https://oereblex.gr.ch/api/attachments/17804;True;True;True;True;True;creationDate: 2022-12-07 15:56:12, modifcationDate: 2022-12-07 15:56:12, author: Max Lscher;Martin Fopp, size: 856799;creationDate: 2022-12-07 15:56:12, modifcationDate: 2022-12-07 15:56:12, author: Max Lscher;Martin Fopp, size: 856799;True;;False","repaired: embedded "";"" inside author field split metadata into >2 raw fields"
773,"GR;3972;Seewis im Prättigau;;20240511;https://oereblex.gr.ch/api/attachments/10963;True;True;True;True;True;creationDate: 2020-06-16 07:19:02, modifcationDate: 2020-06-16 07:19:02, author: Christian von Ballmoos;Martin Fopp, size: 730991;creationDate: 2020-06-16 07:19:02, modifcationDate: 2020-06-16 07:19:02, author: Christian von Ballmoos;Martin Fopp, size: 730991;True;;False","repaired: embedded "";"" inside author field split metadata into >2 raw fields"
797,"GR;3955;Landquart;Mastrils;20240511;https://oereblex.gr.ch/api/attachments/17325;True;True;True;True;False;creationDate: 2019-07-16 15:24:19, modifcationDate: 2019-07-16 15:24:19, author: Bernhard Metzger;Martin Fopp, size: 732485;creationDate: 2022-04-01 14:47:40, modifcationDate: 2022-04-01 14:47:40, author: Elsbeth Bott;Martin Fopp, size: 1571439;False;;False","repaired: embedded "";"" inside author field split metadata into >2 raw fields"
810,"GR;3951;Fläsch;;20240511;https://oereblex.gr.ch/api/attachments/17435;True;True;True;True;True;creationDate: 2022-05-23 15:44:40, modifcationDate: 2022-05-23 15:44:40, author: h.u.kunz;Martin Fopp, size: 588564;creationDate: 2022-05-23 15:44:40, modifcationDate: 2022-05-23 15:44:40, author: h.u.kunz;Martin Fopp, size: 588564;True;;False","repaired: embedded "";"" inside author field split metadata into >2 raw fields"
