type,law_document_id,detail
metadata_or_hash_conflict,70963f1824e03d4bbd04315fe3feef23b6ea59f36dac066345fc891e4b007f42,document_version_id=9b1fc423fe3994f7aa8335fc8fadc164b59754082c7b6acdcac2e62dfb55f268
metadata_or_hash_conflict,776ef5d041ed199640062cadbda47212f1db9d2ba1f6dd1741b52a371331ee14,document_version_id=a7d9d314bec854eddb01580e9a58561db0826707321381f41ea280a94909110e
metadata_or_hash_conflict,bf7b78c1089349c6cc420efdbb1b4eaa281a18a1e8f890c6de5b58f55c995fe0,document_version_id=e7af5df57a537bf711e148b21b25a0c1e0d2864b4f2f3abb9a09c88cb4e9d585
metadata_or_hash_conflict,6c9a406eaa9d9f0ff8092c222018bae6182372fb236c89fb0369b06ef1015af7,document_version_id=a71686a6bb0f0b497d2e18cc01037444fb26f1b299dbba2a07b74bf82eba21c7
metadata_or_hash_conflict,53fb3b63a868874652f6465823720bfeceb2ec54eeb49910a02e39096341d380,document_version_id=c2f4b846f9e83322d55a123c0b65ec16848e150b65795b538c8092284d062ce4
metadata_or_hash_conflict,6e92d049cc35202475d51370431dd5f1ce51989e585b590f5a74169b441be260,document_version_id=ccdab78d55662d109c5441b7eab723f4678254b0f043d13f255201a2bfb9e52a
metadata_or_hash_conflict,bb30aa8f3709ab3511e2f4d767aee667ccfbf23da29bee9717c73da1284a2ffd,document_version_id=bd3e19b3c0533ce989bfb8061047e247c468d6fdba9176a799083d4d7a114dd2
metadata_or_hash_conflict,d5702ee324ff4055cef4a84e334efca77a45aea33d52052cd83ae4a9c26f29ba,document_version_id=35a43b0e19abc85b275d52f6699b433e94c0299453031b05a4e9155fa3dede44
metadata_or_hash_conflict,e1f89ae8c58704c2f0aec9073966607581f2b1b2a3d54508618785daaa054766,document_version_id=5d1977f01439f7f72bf4b63fec4d35f63295c9626d7927b301a697da136d6602
metadata_or_hash_conflict,22757c379ef69a6cb3f2afcd0002bd05df37bb663ebcbb1f5fe110db9932725a,document_version_id=d7dd0c3883dec92cccd6025bd7cdba7257a6c55fe7c789bf20506f002da5a3d9
metadata_or_hash_conflict,255a117141dbc5a3579e9b0a2d7d75618c5e631dd5b472b16882711ddb388159,document_version_id=75260ae94ce6f1c735fc9ff6b11e77bcdd5fb1915095602059be0e33f9c3679a
metadata_or_hash_conflict,41d71bc63078661409feac976a4544702669e5cf1f47ba01434be5a67575718a,document_version_id=6f305e68f90ec86e12068aee0cb7a12cf534ea85c5c8d310b235e9e45aacd32b
metadata_or_hash_conflict,16d563ae00e997b63f32b63b7e8265f3f3954c59009e71de3e092791433fb8a5,document_version_id=fb91209f73ad6ff3340dac5f2bc4122cd29934862fffbcfceda86ffba8a78ce2
metadata_or_hash_conflict,e55fd7dcc2d0f5a3e979409d10e3ab9efe9cc8d09705a626cd9d33b1c36c7fff,document_version_id=c827979897e9847987e8c1ffecaccc71bf3905530a9db9b4edce5d0a6fd5dbd6
metadata_or_hash_conflict,9e24dee79e97ebac85aa2f50ac47273a5a0990b7709b281238cb292fe892f9d9,document_version_id=5b72b6baae52ef346e5db2282fcde7248bc15f3015eb58ebc2ee55958cbd2105
metadata_or_hash_conflict,687c2175437255355eb2832a9a8d64c492ca7dd7801bcfb8065f03e0d0c398b1,document_version_id=17926728458778539afad4aefc5b14197ea0a05c2ddaa47344c2d7fa117c85ed
